town ,restaurant visited,date,count,meal,notes,
Leverett,Leverett Co-Op Harvest Fest,"October 6, 2024",244,lunch,https://www.facebook.com/jessicaebowen/posts/pfbid0mWQDoRPrNJ6GbhdHMF3whYQXbViiVjTw9bixy6VwNUFYYqbcGr11cLugPVvUu6PYl,
Lexington,Avenue Deli,2010,126 sort of,,lunch with kids - seeing Jim Henson exhibit,https://www.patriotledger.com/story/entertainment/local/2010/04/10/muppets-creator-jim-henson-s/40100645007/
Lincoln,DeCordova Museum,"July 29, 2011",39,lunch,https://www.facebook.com/jessicaebowen/posts/pfbid09fT6JePRRfxcknNuREdgvVQFEamwiWpLkGEQsFbLFBJdUqVCdbY4Wr4FkaEv3UWvl,
Littleton,,,,,,
Longmeadow,Lola's,"November 16, 2024",249,lunch,https://www.facebook.com/jessicaebowen/posts/pfbid0MuNFKwrmLqNgviv1Z5Etw653jqzMWUNeEhkg7VZyjgywFN2FGeuRhh2SperNdk6vl,
Lowell,Cobblestones,"December 10, 2024",254,supper,https://www.facebook.com/jessicaebowen/posts/pfbid0jvhq9HYdTYhX6DGCVMLWzBzk5j6Qi34otXte4FgUY73mEfsf7EQuNdhKmekJkgWKl,
Ludlow,Evan's Egg House,"March 2, 2024",197,breakfast,https://www.facebook.com/jessicaebowen/posts/pfbid0JCjPpMoEp717awYRQoAFqzZvbVN8DxciNaPeS1o2W8VjzTXXQzc6toRwdjjRtZHTl,
Lunenburg,Embers Pizzeria,"July 28, 2023",137,supper,https://www.facebook.com/jessicaebowen/posts/pfbid0FnKMzBz7hLDpnVrZp6xPwgyBYXjyN4nj3opPiLw4iUtVqupjaL7FzVVQAieTWMycl,
Lynnfield,La Gallina,"January 19, 2026",296,lunch,https://www.facebook.com/jessicaebowen/posts/pfbid02YMcckKPcsYcjATz6iPikioiidfaPVTHdqGUuDQm1q6oWJBJnBc9aw1J4NDMZ5SEel,
Malden,Faces Brewing,"August 16, 2024",231,supper,https://www.facebook.com/jessicaebowen/posts/pfbid025DvwtUcunaj6qgzHeFnETMNs7SvBE7d4VTuQRSH64Cm6KqrwQeKNZMbbbJFQ8aJwl,Saw Link's new apartment
Manchester-by-the-Sea,Cala's,"December 31, 2024",257,lunch,https://www.facebook.com/jessicaebowen/posts/pfbid0279QJ7661tKqRMKUj91d8CqP8sgMxLi1QPBCPNKvD7YjX7w8CB5i4uNrXaCqU2Ahvl,
Mansfield,Hangar 12,"September 9, 2023",145,breakfast,https://www.facebook.com/jessicaebowen/posts/pfbid02nEmx2MpDwJwPF153Z9qz3joMcgUzaZTEYDgKUZ3C4FUkYjAHoLHwMkqLyq4wf9SDl,
Marion,BrewFish,"August 17, 2024",232,lunch,https://www.facebook.com/jessicaebowen/posts/pfbid02gQJaG9yNMNEEesCSEw5SUdeZJMSX8XZhf4mPGqgXRbsgrFXxRHCSRX38H9YEkwApl,
Marlborough,Welly's,"July 12, 2013",43,,https://www.facebook.com/jessicaebowen/posts/10151737704140818,
Marshfield,Mae's,"March 16, 2025",264,lunch,https://www.facebook.com/jessicaebowen/posts/pfbid02im9q4MwrS5eLySDzYwB1rmys1nUkoX25WzkmcPgf6DLuPCunjRWaNTa28nY7u6R4l,
Mashpee,Bobby Byrne's,"July 8, 2024",220,lunch,https://www.facebook.com/jessicaebowen/posts/pfbid0uVczcmZUmA4BrxFDuzyavp34Bu47SmLJkDQR9GhhBYzrmHa5m9wuUUyjpczvrgful,
Mattapoisett,Mattapoisett Diner,"February 10, 2024",192,breakfast,https://www.facebook.com/jessicaebowen/posts/pfbid02xJFwwQ4iKpmKCsMC6MKUtbEkcnTUqoDt3bTAnyaQfrDneYYVuDWXPjSdh97VvvS5l?notif_id=1707592371816508&notif_t=feedback_reaction_generic&ref=notif,
Maynard,Smack Noodle,"February 20, 2020",50,,,
Medfield,Basil,"August 9, 2023",138,supper,https://www.facebook.com/jessicaebowen/posts/pfbid028R3rzpLHvKjTtJnKmG7gPwUT1mj3jqpdS1D74fHU9MQ1yyPLqVaYz13R1WxJtjxxl?notif_id=1691624052834720&notif_t=feedback_reaction_generic&ref=notif,
Medford,Deep Cuts,"January 22, 2026",297,lunch,This was our Chronicle Episode!!!,https://www.facebook.com/jessicaebowen/posts/pfbid025weahds1BzQazVHtdpeiptoGdFeC9WYhyq9aCScZimpjM54xfXj4eQwMZY1FqfYnl
Medway,Medway Lotus,"April 28, 2023",93,,https://www.facebook.com/jessicaebowen/posts/pfbid0tzyq34PDkj3bxj1jyf5N6vq6P1ENFwV3UP2zK62cz5dCQ7511xPLj6ZVjhLcAHTzl,
Melrose,My Diner,"April 6, 2024",204,brunch,https://www.facebook.com/jessicaebowen/posts/pfbid0tVMkm7gvA2fojvBPUZ9ihKHNp3Q9wy9EdMaaLFLK6bfavRYXNRUuLyuqSaRPmCqTl,
Mendon,Mendon Drive in,"April 14, 2014",46,supper,https://www.facebook.com/ChrisPBowen/posts/pfbid0a6owh6pq4n7KfdSanX7aTB2ZQY2Pkyq4cYsTDLxh9chPj5F8Hap5ABTRBskE4Mmtl,
Merrimac,Merrimac House of Pizza,"February 18, 2024",194,lunch,https://www.facebook.com/jessicaebowen/posts/pfbid02m2CpygGnEafSY4Fh8no26dFPhnYY8yxPFYVMSSQqAbNAiMGAb5gRAf3AEe58Zcsil,
Methuen,Ellie's Farmhouse,"August 12, 2023",139,breakfast,https://www.facebook.com/jessicaebowen/posts/pfbid0HHsXMmT45c5zETpJdHJLPMMP1ZQUQi5McXsm65gqrpqC5qNhzgD7RjXDhWx892jbl,
Middleborough,Harry's Bar & Grille,"Feb 23, 2023",81,,https://www.facebook.com/jessicaebowen/posts/pfbid0iLvWt3yKfSKTizzXuYiSvJv1MnfsVD8kvM3EoAF23vboRcqxPLwtKhZgiZBK5QXJl,
Middleton,Darya's Cafe,"January 14, 2024",185,breakfast,https://www.facebook.com/jessicaebowen/posts/pfbid02uehDVDX4enPcnxXLg8gag4jMM6WKNGViivYNTsmWsa2gMKYW2jrhQqMmCJGPcT95l,
Milford,Depot St. Tavern,"Feb 4, 2023",69,,https://www.facebook.com/jessicaebowen/posts/pfbid0LFfCWEnnCgH8dEZwa3DwwYRbmwmtJHSXGLnW9Z3DFpnTUZ2dnTcTh8oJ6LQZdKSfl,
Millbury,Calabria,"May 31, 2023",105,supper,https://www.facebook.com/jessicaebowen/posts/pfbid0s6NK65CtXxJHLCbEoZHgqxKz47UCcLNT7mArFcRB7RYRLNpJCkiWAUjrQM2BqLPpl,
Millis,Avalena's,"August 24, 2023",141,supper,https://www.facebook.com/jessicaebowen/posts/pfbid02WPKxvJgxqhStyLRBfMoPMqmEfW4ZHGkxNRvtzdtj2t3CSfMBSf957zoRq9Q1CfJMl,
Millville,Mill Tavern Pizza,"January 30, 2024",187,supper,https://www.facebook.com/jessicaebowen/posts/pfbid02w5p8F6DyHqWrqZdyrjhwbbXunK3kt5TPi1SYnELUsSeLp8FzokVnDRUB3wcoRCWEl,
Milton,Steel & Rye,"March 3, 2024",198,brunch,https://www.facebook.com/jessicaebowen/posts/pfbid0xxPMdAv97561k7oFg6r8Vi9g3CmyuTHxyy7jKuMcTgRLy2TaE4LuXe4q2Dv1gpghl,
Monroe,picnic at Monroe Bridge,"April 23, 2025",271,breakfast,https://www.facebook.com/jessicaebowen/posts/pfbid02D7fJZSV9S9fkLLowoW87GzPZRRFqngzCsiQQRCbijhvuzVx5K9QVTNmJ2TFVpxDgl,
Monson,Mug 'N Muffin,"February 17, 2024",193,breakfast,https://www.facebook.com/jessicaebowen/posts/pfbid04S53Y1uaXpAo2Ce5L1TzMkFuoM2pN3xaWbhyUgJsuypnHZaDG7BVrfrMDsEafGzAl,
Montague,The Lady Killigrew Cafe,"November 10, 2023",165,lunch,https://www.facebook.com/jessicaebowen/posts/pfbid02EAQpQNgVvzTjm9Ekndv3pRAaQXBWJFmGq7xN2xKu41xxJ9xfu3udPLGWJpCT7wZol?notif_id=1699648719958699&notif_t=feedback_reaction_generic&ref=notif,
Nantucket,Rose & Crown,"July 24, 2023",135,lunch,https://www.facebook.com/jessicaebowen/posts/pfbid021vV7pYrTwyW6akw1nuKywbNu8J8H9sW5bzqJeqCYZThVRcXM4oEL5usiauy7i45rl,
Natick,,,,,,
Needham,Farmhouse,"December 14, 2021",58,,,
New Bedford,Fairfield Inn,"June 19, 2023",113,breakfast,https://www.facebook.com/jessicaebowen/posts/pfbid0ZGGVkeyMxFafdkwLUmcXVJo2YWPrxAd3zwWpJgYyc6EcESF9FVyri2d9NShYBpBgl,hotel breakfast
New Braintree,Farmer Matt's,"August 3, 2024",229,supper,https://www.facebook.com/jessicaebowen/posts/pfbid02Miw11TVFpESP5HzCApgQzhtzKtfZxUfbL73rzGvCbvFTDQdwpts5E3Txg3XtwnLvl?comment_id=391278437400116&reply_comment_id=839554268128869&notif_id=1722796165440288&notif_t=feed_comment&ref=notif,
New Salem,New Salem General Store,"October 29, 2023",162,lunch,https://www.facebook.com/jessicaebowen/posts/pfbid0vQ1URP5ggsWX8kb4AURmo4mfnuWwBMLN82yUuC7pNCr5JL5e7iZMN6c21DNxXgTjl,
Newburyport,Sea Level ,"August 12, 2020",51,,,
Newton,Cabot's,,,,,
Norfolk,Novato's Bar and Grill,"March 29, 2023",86,,https://www.facebook.com/jessicaebowen/posts/pfbid02MkpnsRXx5VxjQThEGHqycTaRJCixFhYDmp59uniu9iXQGmzJpSEfM3N9NuzYJmol,
North Adams,Tourists Welcome Hotel,"May 20, 2023",98,,https://www.facebook.com/jessicaebowen/posts/pfbid02Lcgk1wa6vMqgZBh1yTYrYMKzZrtA2bzEj67tVYF3ssJWAbCxJvHB6JM5o2HaT5Ubl,
North Andover,Friendly Toast,"July 4, 2024",218,breakfast,https://www.facebook.com/jessicaebowen/posts/pfbid0xYsFjXJCJiP84YKY9g5n2w26HXjFebMDNGC3Uf8QCLRZSFwEvcctcoPs5rqofL6yl,
North Attleborough,Cucina 38,"November 8, 2023",164,supper,https://www.facebook.com/jessicaebowen/posts/pfbid0CYpRwSVc5ApJ26yRmjBfNZKApswAUwHgFSE3mcoKprAMYZS2XZ95PAGhzyRuwuxsl,
North Brookfield,Common Ground Ciderworks,"June 16, 2024",217,lunch,https://www.facebook.com/jessicaebowen/posts/pfbid0SZo9pJTvKQogVPjNbCH6Ju5wAFLqszKVTCWoavP77KifKR1WUFaMRLAVYWXTUT1Ll,
North Reading,Nan's Cafe,"January 1, 2024",184,breakfast,https://www.facebook.com/jessicaebowen/posts/pfbid0pfjdw4P5cDbg1rxXvSk1BvR8QMc6grJ7nbyZpA3yuTq6nfBfrqfrPe5o3y7tuzv9l,
Northampton,Jakes,"April 20, 2024",209,breakfast,https://www.facebook.com/jessicaebowen/posts/pfbid0rX2Jo9zhGLqk3sKQ864JRuLfXwJTcWJ712nnty4tKfxjMvMHVT88ZFuvAUTyZeiLl,
Northborough,Rancho Corona ,"Aug 5, 2021",57,,,
Northbridge,Kyoto Grill,"April 12, 2023",90,,https://www.facebook.com/jessicaebowen/posts/pfbid02EfftHfJKjpuhckB89w6Giis9sJsCUHgnd4mzCXMjSxpM7597nKY9XFsRJE4f7pyNl,"Actually, the villiage of Whitinsville but that's not its own town"
Northfield,Mim's,"November 3, 2024",248,lunch,https://www.facebook.com/jessicaebowen/posts/pfbid035o4hED9bKySAQtWhVuRfiKbGsj9ZWoU2kTPsHwEbzdD6dhPhDnbG9F2XRkBv8MvFl,
Norton,Fiesta Mexican Restaurant,"September 20, 2023",150,supper,https://www.facebook.com/photo?fbid=10161016989105818&set=pcb.10161016963190818,
Norwell,Tinker's Son,"April 6, 2025",267,brunch,https://www.facebook.com/jessicaebowen/posts/pfbid02vAqkHArJdd9qm9PmkCNDZarxoBV2nMhUqvYuid23N1B7NykMmiM9f6cAEZEch9Ul,
Norwood,The Chateau,,,,,
Oak Bluffs,Nomans,"July 19, 2023",130,lunch,https://www.facebook.com/jessicaebowen/posts/pfbid025VYY8viMRJvm39jsUHu2FG5TbdUUZN5YNMWWj1EjmQon6DQuHqhtNJchnCXCXdzql,
Oakham,Agronomy Vineyard,"October 5, 2024",242,lunch,https://www.facebook.com/jessicaebowen/posts/pfbid0e7XsXYYtfPnkiJ8jWcSGc1yGHF6KRWY1CgRPHV1SZM7pVETpdQJpmgtvmmECjDUSl,
Orange,White Cloud Diner,"September 24, 2023",151,breakfast,https://www.facebook.com/jessicaebowen/posts/pfbid0sdtwMPeZiEzeTVz8iEbhkmiSvAhSkqLbEns6fcRMB7AXzwtT6qmifMeK9ZXKL7cnl,
Orleans,Mahoney's Atlantic Bar & Grill,"Feb 20, 2023",74,,https://www.facebook.com/jessicaebowen/posts/pfbid04cMRUb5o8pZ6v8rNX82PZ9JGDh4zicpzKjc5ouUvUmMHU9E8EAUZzRCxNU34UTrdl,
Oxford,Carl's Oxford Diner,"Feb 18, 2023",72,,https://www.facebook.com/jessicaebowen/posts/pfbid0ChQaaQC7cBg6ZM2WHow7QP5TwobtTbzeihXYV2MCA5EPNnJPTj8VZt4WUsMKLDSJl,
Palmer,Paramount Pizza,"July 4, 2023",119,lunch,https://www.facebook.com/jessicaebowen/posts/pfbid02yDkqH9dzdu2yvQJd7p1HwrUqtCEishp1hNqPx8e8nsiSSNdcQzjdd9LyMpa2SnCHl,
Paxton,Paxton House of Pizza,"Dec 8, 2022",61,,after Link's recital,
Pembroke,Towne Tavern and Treehouse,"August 10, 2024",230,lunch,https://www.facebook.com/jessicaebowen/posts/pfbid02RAgRe21rX6ds7kJGbfRXCZ24o78ry5agtxBs25Mk9DPvnTTenHf3wtQ5JVMHY2wXl,
Pepperell,Franny's Diner,"Dec 10, 2022",62,,https://www.facebook.com/jessicaebowen/posts/pfbid0jPXzLXrEuZg7Dct1MQG1UndXZzcFUkLB9nYFKoBD8S31ZomR2TKub2TJaMnJJXsCl,
Petersham,The Country Store,"April 29, 2023",94,,https://www.facebook.com/jessicaebowen/posts/pfbid02vQ4QbHiweG9PMx1DgJUxMfukih3D8t4uswusNAGtCBuo4DuiPoK3KaaD8ZNLBRWZl,
Phillipston,Red Apple Farm,"June 29, 2025",279,lunch,https://www.facebook.com/jessicaebowen/posts/pfbid0R3ewmTgCuBzktNSQUhnk9JWxprj9LE5t9AMp1Z5FcSmeEpRdmCAq27hj65rsCpqPl?notif_id=1751228527057665&notif_t=feedback_reaction_generic&ref=notif,
Pittsfield,District Kitchen & Bar,"July 5, 2023",122,supper,https://www.facebook.com/jessicaebowen/posts/pfbid0b6yZm54VH7ugh4bH66EffivbnVWQUnbzFAaBfuHZDwi5aAzCwd7k6L4ex4iYfidal,
Plainville,Stone Ridge Grill and Bar,"April 25, 2023",92,,https://www.facebook.com/jessicaebowen/posts/pfbid02XDdrQaaD4V6VaytnYT9pKG2sFzykGXDoa8PQt3m79LZmdck4nd49YYCUz7TUMmf3l,
Plymouth,Dillon's Local,"May 26, 2023",100,,https://www.facebook.com/jessicaebowen/posts/pfbid0hiPcAQfy8ScHCsnAjGYUyvvVYu4px4xL65JcrBitYXvFur2X7iJH3zfcjKg5ZTail,
Plympton,KKatie's Burgers Express,"April 25, 2025",272,supper,https://www.facebook.com/jessicaebowen/posts/pfbid0oN5xAhBJVtFMb8x8grtYjA1Z7Dn5Zp5oK8qAQYNztnEKcii9Ne5gzXsm48Er7Q6Fl?notif_id=1745620473079867&notif_t=feedback_reaction_generic&ref=notif,
Princeton,Mountain Side Bakery & Cafe,"June 11, 2023",109,breakfast,https://www.facebook.com/jessicaebowen/posts/pfbid0PxDhS7Qpme6ByCH5K7VFM3eYiZG4q87U9TjcwGWfoonHFpVEah8RBdUc4SwGJr9fl,
Provincetown,The Canteen,"Feb 21, 2023",76,,https://www.facebook.com/jessicaebowen/posts/pfbid0ZdHD4TuhUJD5JZNEoRwmRcDYiywZV1LsmB4SxohZwybjzeJXDkXUTbxMhx8ctCzTl,
Quincy,Original Dunkin Donuts,"July 21, 2024",227,lunch,https://www.facebook.com/jessicaebowen/posts/pfbid02mvAVQ4vXV5BtzADiRP9LUNRSRVtVYarEBykKNh8yzwp4xMjJom8nq3vxYm774grMl,https://www.facebook.com/jessicaebowen/posts/pfbid02PDCZbLDQ7hM8Ai1vLdAixVz79z475gBEkQymAvkZxdWfR8vqiaLyRGS4ZXQhStA4l
Randolph,West End Grill,"July 21, 2024",228,supper,https://www.facebook.com/jessicaebowen/posts/pfbid02nH8gLDUMa2L38RjmfyB7gL1oUsv14wxucra4ngdpZn4svotuhyxSRXHsqP94QYQSl,
Raynham,Barrels & Boards,"November 15, 2023",168,Supper,https://www.facebook.com/jessicaebowen/posts/pfbid0QVDVaQq3r9wB6nPrKdh4GQ22bcc9z3ee8XUVULzwbKUqcfc368et7qB5g6Tw4UCwl,
Reading,Half and Half,"December 3, 2023",175,breakfast,Half Way Through!,https://www.facebook.com/jessicaebowen/posts/pfbid0ioBbEd2SGSMFJanGeCVUUCnKXJ4LWDxtMRqX1qv3YBakHCUNjWX2Lt1jBKL9nfQ6l
Rehoboth,Rehoboth Baking Co,"October 13, 2024",245,lunch,https://www.facebook.com/jessicaebowen/posts/pfbid02uvgXmSfxEaUp8qMa4jyHrEykkKU6Z8uhSA4h7GAzy4B56frvyMcaqNoNE7QGWLYSl?notif_id=1728849991427144&notif_t=feedback_reaction_generic&ref=notif,
Revere,Dryft,"March 8, 2026",298,lunch,https://www.facebook.com/jessicaebowen/posts/pfbid0RkCqJ5o7AzDAPhpmNTXQeCQYYeo8Smpoxpyw6KCZTrMaLZVdiezkMdEFuKpf11Adl,
Richmond,picnic at Balderdash Cellars,"July 5, 2023",121,lunch,https://www.facebook.com/jessicaebowen/posts/pfbid0ib5xQg8dYiMCvu3wfUo2VCMjgnvupheStchVGWDgBxNEMSQSrM8ti6cArHJ52Gujl,
Rochester,Costa's Kintchen,"November 17, 2024",250,lunch,https://www.facebook.com/jessicaebowen/posts/pfbid02YtHANgaEAUy2oJXYYXTTeTRs3soF6uuFeyw8721YjJviBTAh34sxUiMvxQxPeJNsl,
Rockland,Stevie G's,"May 5, 2024",212,breakfast,https://www.facebook.com/jessicaebowen/posts/pfbid0vovQujq5oymhTqbDzJqksuwMQuM8FZRdfuUXJyB4av7wV1zodVjJSQC6UYcKZ5oJl,
Rockport,Feather & Wedge,"December 31, 2023",183,late night dinner,One of our best meals!,https://www.facebook.com/jessicaebowen/posts/pfbid02SJJMbo5vCoiBEHXAqCpNZ2YU1ygadReBwN9DUn743amQQqrH7f4JDUPjsc7QvLoCl
Rowley,American BBQ,"December 31, 2023",182,supper,https://www.facebook.com/jessicaebowen/posts/pfbid02YZRVzRwTC9iLjRkoBpY3GkySi9PhdHAwhiDtiGi2hRq87yfrjWo5ruLuBob47eDUl,
Royalston,Music Fest,"August 10, 2025",282,lunch,https://www.facebook.com/jessicaebowen/posts/pfbid02bkRxa1zNDMZAcMkwt7KX3gJUtEAs9bj9HmTVAVnXYwLPyHQn7GMLbdRXbUahCJ3yl,
Russell,food trucks at park at canoe race,"April 20, 2024",210,lunch,https://www.facebook.com/jessicaebowen/posts/pfbid02CKhH8pJDrb1BzgvQ8s2M8yUHEkeSpujovoeAi3CzQ5cgNcuGsdb2VJwPTYSt8ophl,
Rutland,Ladds,"Jan 26, 2023",67,,https://www.facebook.com/profile/606180817/search/?q=Rutland,
Salem,Peabody Essex Museum,"December 31, 2003",37,supper,Jenny and Dean's wedding,
Sandwich,Cafe Chew,"Feb 20, 2023",73,,https://www.facebook.com/jessicaebowen/posts/pfbid02eih9WhD182U6EQV2X9jzKdBsdWL9zjPmXsdceBKeWvMs6quzKMm6djnKbU7r1ibwl,
Saugus,Kowloon,"October 24, 2025",290,supper,https://www.facebook.com/jessicaebowen/posts/pfbid0jeAtqVUMX8vAoyPzCLDJDaBCqW8kiiSCQZ94XGLDPvbnakaJT3fXAVSX1w76HdUal,
Scituate,Mill Wharf,"May 4, 2025",273,lunch,https://www.facebook.com/jessicaebowen/posts/pfbid0PM1SdzNfp5Dm33Ka9UcJwjc846pu7RksdRvR2t2j2yCUG82gdpop5btgz9nNG6Rnl,
Seekonk,Payton's,"November 8, 2023",167,breakfast,https://www.facebook.com/jessicaebowen/posts/pfbid02CHkaJJkrSWHJnpd5NvSQhF1MRJVhyxcQA97WkEz3M9kESex4YfDgoM4rjjTpTYJKl,
Sharon,Angel's Cafe,"September 3, 2023",143,breakfast,https://www.facebook.com/jessicaebowen/posts/pfbid027thkVzzAhM9VZ1teqDTTrwANK5L8tCyfb1JoUTMiQRmMoVa2h3GTeU9LE3FtFoYXl?notif_id=1693758048901260&notif_t=feedback_reaction_generic&ref=notif,
Sherborn,Heritage ,"January 2, 2023",65,,https://www.facebook.com/jessicaebowen/posts/pfbid0iQHLn5ZrbJhkACiAWAwf79wDxBDWs26wPUvEWepAQJw8wqYL5gsPqcMyoUxaenwcl,
Shirley,Bull Run Restaurant,"December 2, 2016",48,,Suzanne Vega Concert,
Shrewsbury,Willy's Steakhouse Grill & Sushi Bar,,,,,
Somerset,Somerset Grille,"March 28, 2026",301,lunch,https://www.facebook.com/jessicaebowen/posts/pfbid0V1hLeJAuQF5GYw1LuxCrxxgYkBy6u19kvLXBriM15LvuiGXV7DBKphA7XPcKyHtRl,
Somerville,Blue Elephant,"January 25, 2025",260,lunch,https://www.facebook.com/jessicaebowen/posts/pfbid04FnNNd49rRPcoAwEfjQEUa2sCH7g1bNgdHCZfoqSJEbQHAqG7n9QUdx4SqWQM56yl,
South Hadley,Yarde Tavern,"November 29, 2024",252,lunch,https://www.facebook.com/jessicaebowen/posts/pfbid0RpCkNegH11vu9zcdMsTjDLdotik5MPmi2L24NB5U6WEYJ19Mr75CkDJ2Nm9vgJApl,
Southampton,Paisano's,"October 26, 2024",246,lunch,https://www.facebook.com/jessicaebowen/posts/pfbid0ujDvSPCVTi7DgKKVTYycDQHvVXGKznebAomBUzdT93aabR65R4QiyLsYLiTrM8DUl,
Southborough,Owen O'Leary's,,,,,
Southbridge,Elm Centre Cafe,"November 18, 2023",169,breakfast,https://www.facebook.com/jessicaebowen/posts/pfbid0S2Dq8MJGddFm2QAWPu1tnoDx3iVi3PiWdhQ7TH3faw3DHq3e2k56Y9E4Fghc8Gqxl,
Southwick,The Launch,"September 14, 2024",238,lunch,https://www.facebook.com/jessicaebowen/posts/pfbid02yQvkXsfys8bvrXM1LfYdRuxX4cMzSP2c272VGSfc77YgwEaLYyAU5sy6CZsjdThgl,
Spencer,Black & White Grille,"September 7, 2023",144,supper,https://www.facebook.com/jessicaebowen/posts/pfbid02vNfeThrKJcoNv3gjKXgjKBj2drtRL34aSND3az2HNk5h3sQ3ibpN9AE1nHXbKhyGl?notif_id=1694131302898901&notif_t=feedback_reaction_generic&ref=notif,
Sterling,Sterling Inn,Dec 2002,36,,Santa Breakfast when kids were little ,https://www.facebook.com/jessicaebowen/posts/1503605453439336:1503605453439336
Stockbridge,Michael's Restaurant,"August 2, 2021",56,,,
Stoneham,Nobilty Hill Tavern,"March 10, 2024",201,lunch,https://www.facebook.com/jessicaebowen/posts/pfbid02VW8aurLzofsfAy7eoi33Q5k9uFHWbi7iovoDQYNbChm9WZYoJLJ2NmrzesBCAMXl,
Stoughton,Avocados,"October 21, 2023",158,lunch,https://www.facebook.com/jessicaebowen/posts/pfbid0348RG6FoqEJCtdTkiotSWBYfmzo7t97hf9W1tCSvJANA83MEdgaXRraPhF8HcmQUDl,
Stow,Nancy's Air Field Cafe,,,,,
Sturbridge,Publick House,,,,,
Sudbury,Bullfinch's,"July 29, 2013",44,,https://www.facebook.com/photo?fbid=10151773110290818&set=a.10150214672100818,
Sunderland,Bridgeside Grille,"October 6, 2024",243,breakfast,https://www.facebook.com/jessicaebowen/posts/pfbid02uk5tifhudM267rtfKLw3bku6YH45qgz73tYoaHenBzrbtn449NSrDhddvbwThswul,
Sutton,Little Coffee Bean,"May 10, 2025",274,lunch,https://www.facebook.com/jessicaebowen/posts/pfbid026yKcxRcfC7PXdPkLkUigZYCNj3f4oc2VF2BaB1svZJc2T9Dc8zbYt29F1hnNnwcEl,
Swampscott,Dockside Pub,"June 18, 2025",278,lunch,https://www.facebook.com/jessicaebowen/posts/pfbid02WUHdHetYRJymNR7FHMtoGKzM29RiXrUjcu8fZhqfYW1MbcPt1VG5HW7TCoUugYYbl,
Swansea,The Aviary,"October 27, 2024",247,brunch,https://www.facebook.com/jessicaebowen/posts/pfbid02Y9nSr2RygSahr54nGmhphVSnraoWRiuJ9mMSUzmCDgVDTqAG2DEuQtauP5szs4Xjl?comment_id=854780563484912&notif_id=1730058554831130&notif_t=feed_comment&ref=notif,
Taunton,Home Plate Bay Street Grill,"June 18, 2023",111,lunch,https://www.facebook.com/jessicaebowen/posts/pfbid028LS9LK8uqaqpgcoms2sinmkkCX2nrMuAb6TSQ1VkgjJfwhLeVEx7joWs4zt2rA1ol,
Templeton,KRO's on the Common,"July 6, 2023",124,lunch,https://www.facebook.com/jessicaebowen/posts/pfbid025hYsrDrrGdrFJcuLf5A7FURF7VD8iJUaU4ShVLBwTZV6kcZPrcUfkhzj1HW4vYShl,
Tewksbury,Mexica burritos,"Feb 13, 2023",71,,https://www.facebook.com/jessicaebowen/posts/pfbid0GLACTwWNPUjbBjKSc41i86dW1msY1fHYNrrFrNhs1kjj65zdNWsttfTT3HuusPvYl,
Tisbury,Mikado,"July 18, 2023",129,supper,https://www.facebook.com/jessicaebowen/posts/pfbid0Xq4rts6DxbdC5a24TVvDqB7FDH7qgRvtha5EwR1BTdchHu5dCNKCCVCzapeVebVzl,
Topsfield,Topsfield Fair,October 2000,35,,,
Townsend,Baileys,"August 16, 2023",140,supper,https://www.facebook.com/jessicaebowen/posts/pfbid0NQpCe4DN9yUFJXTghCULz3oVb9zyR8n358FCAyLFm4CbR49E4meYxT9CzYvwDqfPl,
Truro,Montano's,"Feb 21, 2023",77,,https://www.facebook.com/jessicaebowen/posts/pfbid0ZdHD4TuhUJD5JZNEoRwmRcDYiywZV1LsmB4SxohZwybjzeJXDkXUTbxMhx8ctCzTl,
Tyngsborough,Dream Diner,"July 1, 2023",118,breakfast,https://www.facebook.com/jessicaebowen/posts/pfbid029jNCPVGd2q147k9vn2p6jxtK9Ygv7paPa4G9ffaimCjyWNp3jtoWzLzQ63FsXrVyl?notif_id=1688229535260358&notif_t=feedback_reaction_generic&ref=notif,
Upton,Red Rock Grill,"Sep 23, 2020",52,,,
Uxbridge,Uxlocale,"July 12, 2023",125,supper,https://www.facebook.com/jessicaebowen/posts/pfbid0UZN8cUigz7G9TziFWAfEVFDYPvhuNJWXP2uCRpurBfrVk1RotHBVzwbT1TNHFYNAl,
Wales,Lake George Tavern,"September 17, 2023",149,lunch,https://www.facebook.com/jessicaebowen/posts/pfbid04aW7WKZfMXb7eoJ4EjGK6VK9yfXF7UW27A14WrncvPCZuLPrsgiURmaAEgT1FGbCl,
Walpole,Boylston Schul-Verein,"May 11, 2023",96,supper,https://www.facebook.com/jessicaebowen/posts/pfbid032Jq7kbM8iW62kd8A93Rq5wbN3QuR9AZUtF7qEgqZfWt8Xf8jJKkBT1dmbJKH9ZkKl,Chris's German Schul celebration
Waltham,Wilson's Diner ,,,,,
Ware,Mexicali Grill,"November 21, 2023",170,supper,https://www.facebook.com/jessicaebowen/posts/pfbid0a6xJjcTaEDRMgimcmDk4aLRkoieQHWLYjFEP1DZAto9SxC83fEX3Q1QRgGREwe2ml,
Wareham,Quahog Republic,"May 4, 2024",211,lunch,https://www.facebook.com/jessicaebowen/posts/pfbid02h495BZK4xXX5fzZTFUZJVVRy2BcNoj2KFD5dxgoU8TxismouZXnE6RS35PZuLaiyl,
